log_msg_len,type_id,timestamp,Version,Start System Sub-frame Number,Start System Frame Number,PUCCH Reporting Mode,PUCCH Report Type,Number of Subbands,Alt Cqi Table Data,CQI CW0,CQI CW1,Wideband PMI,Carrier Index,CSF Tx Mode,Num Csirs Ports,Csi Meas Set Index,Rank Index
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:56:17.013771,102,0,992,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:56:17.014516,102,1,992,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,7,6,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:46.610260,102,7,735,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,4,5,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:46.610260,102,7,735,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:46.935263,102,2,768,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,7,8,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:46.935263,102,2,768,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:46.942081,102,9,768,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,8,8,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:46.942081,102,9,768,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:47.078996,102,6,782,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:47.080248,102,7,782,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,7,7,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:47.119009,102,6,786,MODE_1_1,"Type 3, RI Feedback",10,1,0,0,0,SCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:47.120247,102,7,786,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",10,1,8,6,10,SCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:47.159178,102,6,790,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:47.160004,102,7,790,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,8,8,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:08.776977,102,4,904,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:08.778050,102,5,904,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,9,7,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:08.816977,102,4,908,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:08.817919,102,5,908,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,9,7,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:08.856976,102,4,912,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:08.858053,102,5,912,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,9,7,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:08.896982,102,4,916,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:08.898063,102,5,916,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,9,7,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:08.936970,102,4,920,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:08.938041,102,5,920,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,13,0,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:08.976985,102,4,924,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:08.978042,102,5,924,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,11,9,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:09.016984,102,4,928,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:58:09.018052,102,5,928,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,11,10,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:58.135223,102,2,864,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,14,0,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:58.135223,102,2,864,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:58.142039,102,9,864,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,14,0,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:58.142039,102,9,864,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:58.450222,102,7,895,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,12,10,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:58.450222,102,7,895,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:58.770229,102,7,927,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,11,10,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:58.770229,102,7,927,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:59.095252,102,2,960,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,9,7,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:59.095252,102,2,960,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:59.103120,102,0,961,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,10,7,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:59.103120,102,0,961,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:59.410231,102,7,991,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,9,7,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:57:59.410231,102,7,991,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:56:38.532921,102,0,72,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:56:38.534446,102,1,72,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,8,8,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:56:38.560520,102,7,74,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,8,8,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:56:38.560520,102,7,74,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:56:38.624453,102,1,81,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,9,8,11,PCC,TM_CL_SM,0,0,Rank 1
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:56:38.624453,102,1,81,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:56:38.773277,102,0,96,MODE_1_1,"Type 3, RI Feedback",13,1,0,0,0,PCC,TM_CL_SM,0,0,Rank 2
24,LTE_PHY_PUCCH_CSF,2021-11-29 14:56:38.774108,102,1,96,MODE_1_1,"Type 2, Wideband CQI, PMI Feedback",13,1,8,8,11,PCC,TM_CL_SM,0,0,Rank 1
